First_Name,Last_Name,Unique_ID,24_id,23_id,22_id,Understat_ID,Full_Name
Kasey,McAteer,299,299,-1,687,10166,Kasey McAteer
Wilfred,Ndidi,300,300,-1,265,5545,Wilfred Ndidi
Caleb,Okoli,301,301,-1,-1,7333,Caleb Okoli
Ricardo,Barbosa Pereira,302,302,-1,256,3303,Ricardo Barbosa Pereira
Harry,Souttar,303,303,-1,727,6329,Harry Souttar
Jakub,Stolarczyk,304,304,-1,-1,13301,Jakub Stolarczyk
Luke,Thomas,305,305,693,270,8562,Luke Thomas
Jamie,Vardy,306,306,-1,255,755,Jamie Vardy
Jannik,Vestergaard,307,307,-1,253,111,Jannik Vestergaard
Danny,Ward,308,308,-1,254,473,Danny Ward
Harry,Winks,309,309,-1,434,971,Harry Winks
Oliver,Skipp,501,501,515,441,7198,Oliver Skipp
Abdul,Fatawu,570,570,-1,-1,12911,Abdul Fatawu
Will,Alves,606,606,-1,-1,13302,Will Alves
Ben,Nelson,616,616,-1,-1,,Ben Nelson
Bilal,El Khannouss,635,635,-1,-1,13020,Bilal El Khannouss
Henry,Cartwright,694,694,-1,-1,,Henry Cartwright
Thomas,Wilson-Brown,708,708,-1,-1,,Thomas Wilson-Brown
Woyo,Coulibaly,726,726,-1,-1,,Woyo Coulibaly
Alisson,Ramses Becker,310,310,291,281,1257,Alisson Ramses Becker
Trent,Alexander-Arnold,311,311,290,285,1791,Trent Alexander-Arnold
Stefan,Bajčetić Maquieira,312,312,292,564,10723,Stefan Bajčetić Maquieira
Conor,Bradley,313,313,757,-1,10120,Conor Bradley
Bobby,Clark,315,315,627,584,10997,Bobby Clark
Darwin,Núñez Ribeiro,316,316,293,297,10720,Darwin Núñez Ribeiro
Diogo,Teixeira da Silva,317,317,294,288,6854,Diogo Teixeira da Silva
Ben,Doak,318,318,628,665,11231,Ben Doak
Harvey,Elliott,319,319,295,294,7546,Harvey Elliott
Endo,Wataru,320,320,668,-1,8808,Endo Wataru
Cody,Gakpo,321,321,297,680,11296,Cody Gakpo
Joe,Gomez,322,322,298,286,987,Joe Gomez
Ryan,Gravenberch,323,323,708,-1,10697,Ryan Gravenberch
Curtis,Jones,324,324,300,291,6665,Curtis Jones
Caoimhin,Kelleher,325,325,301,289,7904,Caoimhin Kelleher
Ibrahima,Konaté,326,326,302,290,6326,Ibrahima Konaté
Luis,Díaz,327,327,303,293,10408,Luis Díaz
Mohamed,Salah,328,328,308,283,1250,Mohamed Salah
Alexis,Mac Allister,329,329,304,116,8379,Alexis Mac Allister
James,McConnell,330,330,629,-1,11811,James McConnell
Tyler,Morton,331,331,-1,-1,,Tyler Morton
Nathaniel,Phillips,332,332,306,501,8228,Nathaniel Phillips
Jarell,Quansah,333,333,626,-1,10187,Jarell Quansah
Rhys,Williams,334,334,-1,498,,Rhys Williams
Andrew,Robertson,335,335,307,284,1688,Andrew Robertson
Dominik,Szoboszlai,336,336,309,-1,9788,Dominik Szoboszlai
Konstantinos,Tsimikas,337,337,311,292,8852,Konstantinos Tsimikas
Virgil,van Dijk,339,339,313,280,833,Virgil van Dijk
Federico,Chiesa,636,636,-1,-1,1433,Federico Chiesa
Vítezslav,Jaros,660,660,-1,-1,13103,Vítezslav Jaros
Harvey,Davies,669,669,-1,592,,Harvey Davies
