id,first_name,second_name,value,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
599,Will,Dennis,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,1
599,Will,Dennis,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8,3,1070,1100,1130,1100,BOU,EVE,20,1,24,1
91,Mark,Flekken,45,,4.666666666666667,1.5633333333333332,4.666666666666667,90.0,19.33333333333333,5.0,1.734,3.8,90.0,17.8,4.875,1.54375,3.25,90.0,15.125,4.75,1.7166666666666668,3.0,90.0,14.916666666666666,0.0,0.0,90.0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,1
91,Mark,Flekken,45,,4.666666666666667,1.5633333333333332,4.666666666666667,90.0,19.33333333333333,5.0,1.734,3.8,90.0,17.8,4.875,1.54375,3.25,90.0,15.125,4.75,1.7166666666666668,3.0,90.0,14.916666666666666,0.0,0.0,90.0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,1
91,Mark,Flekken,45,,4.666666666666667,1.5633333333333332,4.666666666666667,90.0,19.33333333333333,5.0,1.734,3.8,90.0,17.8,4.875,1.54375,3.25,90.0,15.125,4.75,1.7166666666666668,3.0,90.0,14.916666666666666,0.0,0.0,90.0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,1
109,Hákon,Valdimarsson,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15,4,1080,1130,1100,1310,BRE,NEW,15,1,24,1
109,Hákon,Valdimarsson,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,4,1080,1130,1100,1070,BRE,NFO,17,1,24,1
109,Hákon,Valdimarsson,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,4,1080,1360,1100,1390,BRE,ARS,19,1,24,1
142,Jason,Steele,42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16,1,24,1
142,Jason,Steele,42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18,1,24,1
142,Jason,Steele,42,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20,1,24,1
146,Bart,Verbruggen,45,,1.6666666666666667,1.1,2.0,90.0,5.0,3.2,1.434,2.4,90.0,8.6,3.5,1.4900000000000002,3.0,90.0,11.625,3.25,1.67,2.833333333333333,90.0,11.666666666666666,0.1666666666666666,0.0,90.0,7,5,1070,1100,1130,1090,BHA,CRY,16,1,24,1
146,Bart,Verbruggen,45,,1.6666666666666667,1.1,2.0,90.0,5.0,3.2,1.434,2.4,90.0,8.6,3.5,1.4900000000000002,3.0,90.0,11.625,3.25,1.67,2.833333333333333,90.0,11.666666666666666,0.1666666666666666,0.0,90.0,4,5,1070,1120,1130,1190,BHA,BRE,18,1,24,1
146,Bart,Verbruggen,45,,1.6666666666666667,1.1,2.0,90.0,5.0,3.2,1.434,2.4,90.0,8.6,3.5,1.4900000000000002,3.0,90.0,11.625,3.25,1.67,2.833333333333333,90.0,11.666666666666666,0.1666666666666666,0.0,90.0,1,5,1070,1360,1130,1390,BHA,ARS,20,1,24,1
615,Carl,Rushworth,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16,1,24,1
615,Carl,Rushworth,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18,1,24,1
615,Carl,Rushworth,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20,1,24,1
668,Killian,Cahill,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16,1,24,1
668,Killian,Cahill,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18,1,24,1
668,Killian,Cahill,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20,1,24,1
154,Lucas,Bergström,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1130,1120,1320,1190,CHE,BRE,16,1,24,1
154,Lucas,Bergström,40,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,1130,1140,1320,1180,CHE,FUL,18,1,24,1
155,Marcus,Bettinelli,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1130,1120,1320,1190,CHE,BRE,16,1,24,1
155,Marcus,Bettinelli,39,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,1130,1140,1320,1180,CHE,FUL,18,1,24,1
183,Đorđe,Petrović,44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4,6,1130,1120,1320,1190,CHE,BRE,16,1,24,1
183,Đorđe,Petrović,44,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9,6,1130,1140,1320,1180,CHE,FUL,18,1,24,1
