id,first_name,second_name,position,value,team_id,penalties_order,rolling_saves_3,rolling_expected_goals_conceded_3,rolling_total_points_3,rolling_minutes_3,rolling_bps_3,rolling_saves_5,rolling_expected_goals_conceded_5,rolling_total_points_5,rolling_minutes_5,rolling_bps_5,rolling_saves_8,rolling_expected_goals_conceded_8,rolling_total_points_8,rolling_minutes_8,rolling_bps_8,rolling_saves_12,rolling_expected_goals_conceded_12,rolling_total_points_12,rolling_minutes_12,rolling_bps_12,avg_yellow_cards,avg_penalties_saved,pred_minutes
669,Harvey,Davies,GK,40,12,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
344,Scott,Carson,GK,40,13,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
347,Ederson,Santana de Moraes,GK,55,13,,1.0,0.8366666666666666,0.3333333333333333,30.0,-1.3333333333333333,1.8,1.3679999999999999,0.8,54.0,3.8,1.75,1.3275000000000001,1.5,67.5,6.0,2.0833333333333335,1.2108333333333332,1.9166666666666667,75.0,7.5,0.25,0.0,90.0
358,Stefan,Ortega Moreno,GK,52,13,,2.6666666666666665,1.4633333333333336,3.0,60.0,14.0,1.6,0.8780000000000001,1.8,36.0,8.4,1.0,0.5487500000000001,1.125,22.5,5.25,0.6666666666666666,0.3658333333333334,0.75,15.0,3.5,0.0,0.0,90.0
367,Altay,Bayindir,GK,43,14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
374,Tom,Heaton,GK,40,14,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
383,André,Onana,GK,52,14,,3.6666666666666665,1.466666666666667,3.6666666666666665,90.0,20.0,3.6,1.256,4.4,90.0,20.0,2.625,1.3175,3.875,90.0,16.625,2.9166666666666665,1.5824999999999998,4.75,90.0,17.75,0.0,0.07142857142857142,90.0
396,Martin,Dúbravka,GK,42,15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
412,Odysseas,Vlachodimos,GK,43,15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
413,Nick,Pope,GK,50,15,,2.6666666666666665,1.5533333333333335,1.3333333333333333,90.0,5.666666666666667,2.0,1.268,2.2,90.0,9.0,2.625,1.22125,2.75,90.0,11.875,3.6666666666666665,1.2683333333333333,2.9166666666666665,90.0,12.166666666666666,0.14285714285714285,0.0,90.0
414,John,Ruddy,GK,40,15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
427,Carlos Miguel,dos Santos Pereira,GK,42,16,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
443,Matz,Sels,GK,47,16,,2.6666666666666665,1.3966666666666665,3.3333333333333335,90.0,8.666666666666666,2.4,1.204,3.6,90.0,10.0,3.25,1.27125,4.625,90.0,14.25,2.8333333333333335,1.1766666666666667,4.25,90.0,12.833333333333334,0.14285714285714285,0.0,90.0
14,Aaron,Ramsdale,GK,44,17,,0.0,0.0,0.0,0.0,0.0,1.4,0.5640000000000001,1.8,36.0,7.6,2.125,1.47625,2.0,56.25,8.125,3.0,1.6941666666666666,2.1666666666666665,67.5,8.5,0.1111111111111111,0.0,90.0
454,Gavin,Bazunu,GK,43,17,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
