Understat_ID,FPL_ID,Understat_Name,FPL_Name,Unique_ID
8942,510,Aaron Hickey,Aaron Hickey,93
8961,312,Rúben Dias,Rúben Gato Alves Dias,361
8965,463,Vladimir Coufal,Vladimir Coufal,516
8992,135,Hakim Ziyech,Hakim Ziyech,777
9040,148,Conor Gallagher,Conor Gallagher,169
9098,113,Robert Sánchez,Robert Sánchez,185
9284,117,Jakub Moder,Jakub Moder,137
9332,447,Dane Scarlett,Dane Scarlett,500
9339,242,Joe Gelhardt,Joe Gelhardt,890
9356,48,Carney Chukwuemeka,Carney Chukwuemeka,161
9415,55,Jaden Philogene-Bidace,Jaden Philogene-Bidace,569
9453,120,Moisés Caicedo,Moisés Caicedo Corozo,157
9461,172,Jesurun Rak-Sakyi,Jesurun Rak-Sakyi,213
9492,240,Crysencio Summerville,Crysencio Summerville,587
9493,237,Sam Greenwood,Sam Greenwood,886
9501,296,Fabio Carvalho,Fábio Freitas Gouveia Carvalho,314
9512,419,Valentino Livramento,Tino Livramento,409
9524,344,Anthony Elanga,Anthony Elanga,432
9554,49,Tim Iroegbunam,Tim Iroegbunam,226
9676,81,David Raya,David Raya Martin,15
9677,84,Kristoffer Ajer,Kristoffer Ajer,86
9678,92,Ethan Pinnock,Ethan Pinnock,104
9679,85,Rico Henry,Rico Henry,92
9680,86,Vitaly Janelt,Vitaly Janelt,94
9681,93,Frank Onyeka,Frank Onyeka,102
9682,99,Mads Bidstrup,Mads Bidstrup,753
9683,91,Mads Bech Sørensen,Mads Bech Sørensen,748
9684,97,Marcus Forss,Marcus Forss,751
9685,90,Mads Roerslev,Mads Roerslev Rasmussen,105
9686,541,Halil Dervisoglu,Halil Dervişoğlu,757
9687,96,Charlie Goode,Charlie Goode,750
9689,18,Albert Sambi Lokonga,Albert Sambi Lokonga,790
9691,17,Nuno Tavares,Nuno Varela Tavares,698
9700,236,Kristoffer Klaesson,Kristoffer Klaesson,885
9733,516,Nathan Collins,Nathan Collins,88
9734,118,Enock Mwepu,Enock Mwepu,763
9735,121,Taylor Richards,Taylor Richards,764
9738,271,Patson Daka,Patson Daka,289
9739,266,Kiernan Dewsbury-Hall,Kiernan Dewsbury-Hall,166
9740,478,José Sá,José Malheiro de Sá,554
9741,568,Chem Campbell,Chem Campbell,1061
