id,first_name,second_name,value,pred_minutes,rolling_xg_5,season_mean_bonus,average_xg_per_game,cumulative_xg,cumulative_goals,rolling_xa_5,average_xa_per_game,cumulative_xa,cumulative_assists,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
598,Lamare,Bogarde,40,11.25,0.0,0.0,0.0,0.0,0,0.04,0.0,0.08,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
598,Lamare,Bogarde,40,11.25,0.0,0.0,0.0,0.0,0,0.04,0.0,0.08,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
598,Lamare,Bogarde,40,11.25,0.0,0.0,0.0,0.0,0,0.04,0.0,0.08,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
640,Sil,Swinkels,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,4,2,1120,1120,1200,1190,AVL,BRE,14,1,24,2
640,Sil,Swinkels,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,17,2,1120,1070,1200,1060,AVL,SOU,15,1,24,2
640,Sil,Swinkels,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,13,2,1120,1350,1200,1390,AVL,MCI,17,1,24,2
640,Sil,Swinkels,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,5,2,1120,1130,1200,1220,AVL,BHA,19,1,24,2
59,Max,Aarons,43,3.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
59,Max,Aarons,43,3.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
59,Max,Aarons,43,3.75,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
68,James,Hill,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,18,3,1070,1170,1130,1350,BOU,TOT,14,1,24,2
68,James,Hill,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,19,3,1070,1070,1130,1130,BOU,WHU,16,1,24,2
68,James,Hill,40,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0,7,3,1070,1100,1130,1090,BOU,CRY,18,1,24,2
