id,first_name,second_name,value,penalties_order,pred_minutes,opponent_team,own_team,own_attack,opponent_attack,own_defense,opponent_defense,own_short_name,opponent_short_name,gameweek,was_home,season,POS
119,Mahmoud,Dahoud,49,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
121,Julio,Enciso,54,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
121,Julio,Enciso,54,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
121,Julio,Enciso,54,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
124,Billy,Gilmour,50,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
124,Billy,Gilmour,50,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
124,Billy,Gilmour,50,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
125,Pascal,Groß,65,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
125,Pascal,Groß,65,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
125,Pascal,Groß,65,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
126,Jack,Hinshelwood,50,,11.2,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
126,Jack,Hinshelwood,50,,11.2,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
126,Jack,Hinshelwood,50,,11.2,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
127,Ibrahim,Osman,50,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
127,Ibrahim,Osman,50,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
127,Ibrahim,Osman,50,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
130,Kacper,Kozłowski,45,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
130,Kacper,Kozłowski,45,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
130,Kacper,Kozłowski,45,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
132,Solly,March,65,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
132,Solly,March,65,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
132,Solly,March,65,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
133,Adrian,Mazilu,45,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
133,Adrian,Mazilu,45,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
133,Adrian,Mazilu,45,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
134,James,Milner,50,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
134,James,Milner,50,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
134,James,Milner,50,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
135,Yankuba,Minteh,51,,6.4,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
135,Yankuba,Minteh,51,,6.4,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
135,Yankuba,Minteh,51,,6.4,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
136,Mitoma,Kaoru,66,,89.4,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
136,Mitoma,Kaoru,66,,89.4,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
136,Mitoma,Kaoru,66,,89.4,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
137,Jakub,Moder,44,,0.2,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
137,Jakub,Moder,44,,0.2,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
137,Jakub,Moder,44,,0.2,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
140,Cameron,Peupion,44,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
140,Cameron,Peupion,44,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
140,Cameron,Peupion,44,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
141,Jeremy,Sarmiento Morante,49,,0.0,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
141,Jeremy,Sarmiento Morante,49,,0.0,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
141,Jeremy,Sarmiento Morante,49,,0.0,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
149,Mats,Wieffer,47,,34.8,7,5,1070,1100,1130,1090,BHA,CRY,16.0,1,24,3
149,Mats,Wieffer,47,,34.8,4,5,1070,1120,1130,1190,BHA,BRE,18.0,1,24,3
149,Mats,Wieffer,47,,34.8,1,5,1070,1360,1130,1390,BHA,ARS,20.0,1,24,3
